Product Name, Year Month , Warehouse Inventory ,Inventory Cost Per Unit,Product ID
TYR Boys' Team Digi Jammer,201712,0,0.63609,35
Team Golf San Francisco Giants Putter Grip,201712,0,1.88895,36
Clicgear Rovic Cooler Bag,201712,0,1.29098,37
Hirzl Men's Hybrid Golf Glove,201712,0,1.06017,38
Titleist Pro V1x Golf Balls,201712,0,0.24553,39
adidas Men's Germany Black Crest Away Tee,201712,0,1.27932,40
Titleist Pro V1 High Numbers Personalized Gol,201712,0,0.94013,41
Under Armour Women's Micro G Skulpt Running S,201712,0,2.31993,42
Under Armour Hustle Storm Medium Duffle Bag,201712,1,1.0308,43
Under Armour Women's Ignite PIP VI Slide,201712,0,1.88977,44
Bag Boy Beverage Holder,201712,0,0.73373,45
Under Armour Men's Tech II T-Shirt,201712,0,0.88756,46
Team Golf New England Patriots Putter Grip,201712,0,1.88503,47
Under Armour Men's Compression EV SL Slide,201712,0,0.77155,48
Bridgestone e6 Straight Distance NFL Tennesse,201712,0,0.83715,49
Glove It Women's Mod Oval Golf Glove,201712,0,0.79216,50
Titleist Pro V1x High Numbers Golf Balls,201712,0,0.4519,51
Nike Women's Legend V-Neck T-Shirt,201712,0,1.72672,52
Under Armour Kids' Mercenary Slide,201712,0,0.30745,53
adidas Kids' F5 Messi FG Soccer Cleat,201712,0,0.28923,54
Children's heaters,201712,0,0.33793,55
Web Camera,201712,0,1.1257,56
Dell Laptop,201712,14,1.56369,57
Porcelain crafts,201712,0,1.27555,58
Sports Books,201712,2,0.99933,59
DVDs,201712,64,2.03553,60
Industrial consumer electronics,201712,0,1.98371,61
Fighting video games,201712,4,1.87778,62
Summer dresses,201712,13,1.3625,63
Lawn mower,201712,4,1.34376,64
Adult dog supplies,201712,2,2.07928,65
Rock music,201712,16,2.26272,66
Elevation Training Mask 2.0,201712,0,2.01992,67
LIJA Women's Mid-Length Panel Golf Shorts,201712,0,1.87068,68
Toys,201712,133,0.19512,69
Brooks Women's Ghost 6 Running Shoe,201712,0,0.87784,70
Bag Boy M330 Push Cart,201712,0,0.89532,71
Merrell Women's Grassbow Sport Hiking Shoe,201712,0,2.33326,72
Nike Men's Free TR 5.0 TB Training Shoe,201712,0,1.64028,73
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201712,0,0.76304,74
First aid kit,201712,18,0.18893,75
CDs of rock,201712,0,1.2039,76
Polar FT4 Heart Rate Monitor,201712,0,1.91129,77
LIJA Women's Argyle Golf Polo,201712,0,0.42388,78
TaylorMade White Smoke IN-12 Putter,201712,0,1.5587,79
Fitbit The One Wireless Activity & Sleep Trac,201712,0,0.35075,80
Nike Kids' Grade School KD VI Basketball Shoe,201712,0,1.44465,81
The North Face Women's Recon Backpack,201712,0,0.28817,82
Smart watch,201712,42,1.58784,83
Baby sweater,201712,0,2.06503,84
MDGolf Pittsburgh Penguins Putter,201712,0,1.1476,85
Men's gala suit,201712,3,1.57465,86
Merrell Men's All Out Flash Trail Running Sho,201712,0,0.24096,87
Garmin Approach S3 Golf GPS Watch,201712,0,1.09327,88
LIJA Women's Button Golf Dress,201712,0,1.1183,89
Cleveland Golf Women's 588 RTX CB Satin Chrom,201712,0,1.26731,90
Merrell Women's Siren Mid Waterproof Hiking B,201712,0,1.74796,91
TaylorMade Women's RBZ SL Rescue,201712,0,1.3918,92
Mio ALPHA Heart Rate Monitor/Sport Watch,201712,0,2.08941,93
TaylorMade 2017 Purelite Stand Bag,201712,0,0.95654,94
Cleveland Golf Collegiate My Custom Wedge 588,201712,0,0.66784,95
adidas Brazuca 2017 Official Match Ball,201712,0,1.0839,96
Nike Men's Fingertrap Max Training Shoe,201712,0,0.90172,97
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201712,0,1.60391,98
Nike Men's Kobe IX Elite Low Basketball Shoe,201712,0,0.43288,99
Ogio Race Golf Shoes,201712,0,0.34053,100
insta-bed Neverflat Air Mattress,201712,0,2.22542,101
GolfBuddy VT3 GPS Watch,201712,0,1.59059,102
Merrell Women's Grassbow Sport Waterproof Hik,201712,0,0.93751,103
Titleist Small Wheeled Travel Cover,201712,0,0.61532,104
Polar Loop Activity Tracker,201712,0,2.27348,105
Pelican Maverick 100X Kayak,201712,0,2.11183,106
Garmin Approach S4 Golf GPS Watch,201712,0,1.04738,107
Total Gym 1400,201712,0,2.00022,108
Garmin Forerunner 910XT GPS Watch,201712,0,0.23621,109
Titleist Club Glove Travel Cover,201712,0,1.37169,110
GoPro HERO3+ Black Edition Camera,201712,0,1.43061,111
Diamondback Boys' Insight 24 Performance Hybr,201712,0,0.94231,112
Diamondback Girls' Clarity 24 Hybrid Bike 201,201712,0,0.3946,113
Stiga Master Series ST3100 Competition Indoor,201712,0,0.46527,114
SOLE E35 Elliptical,201712,1,0.36106,115
Bushnell Pro X7 Jolt Slope Rangefinder,201712,9,2.22684,116
SOLE E25 Elliptical,201712,23,1.84297,117
Bowflex SelectTech 1090 Dumbbells,201712,36,1.49431,118
Perfect Fitness Perfect Rip Deck,201711,7,2.30448,1
Nike Men's Dri-FIT Victory Golf Polo,201711,14,1.05628,2
O'Brien Men's Neoprene Life Vest,201711,0,1.96228,3
Nike Men's Free 5.0+ Running Shoe,201711,3,2.24632,4
Under Armour Girls' Toddler Spine Surge Runni,201711,5,0.41294,5
Nike Men's CJ Elite 2 TD Football Cleat,201711,0,1.17278,6
Field & Stream Sportsman 16 Gun Fire Safe,201711,0,2.21846,7
Pelican Sunstream 100 Kayak,201711,0,0.17196,8
Diamondback Women's Serene Classic Comfort Bi,201711,0,0.60975,9
ENO Atlas Hammock Straps,201711,0,1.68268,10
Nike Men's Comfort 2 Slide,201711,0,1.03473,11
adidas Youth Germany Black/Red Away Match Soc,201711,0,1.15918,12
Team Golf St. Louis Cardinals Putter Grip,201711,0,1.3009,13
LIJA Women's Eyelet Sleeveless Golf Polo,201711,0,0.96918,14
adidas Men's F10 Messi TRX FG Soccer Cleat,201711,0,1.95337,15
Glove It Women's Imperial Golf Glove,201711,0,0.87019,16
Glove It Imperial Golf Towel,201711,2,1.86995,17
Bridgestone e6 Straight Distance NFL Carolina,201711,0,2.20461,18
Glove It Women's Mod Oval 3-Zip Carry All Gol,201711,0,0.31714,19
Columbia Men's PFG Anchor Tough T-Shirt,201711,0,1.37329,20
Under Armour Women's Ignite Slide,201711,0,0.29626,21
Team Golf Tennessee Volunteers Putter Grip,201711,0,0.83648,22
Titleist Pro V1x High Numbers Personalized Go,201711,0,0.71236,23
Nike Men's Deutschland Weltmeister Winners Bl,201711,0,1.9268,24
Bridgestone e6 Straight Distance NFL San Dieg,201711,0,2.22572,25
Nike Women's Tempo Shorts,201711,0,0.95345,26
Team Golf Texas Longhorns Putter Grip,201711,0,2.1138,27
Hirzl Women's Soffft Flex Golf Glove,201711,0,2.28022,28
Clicgear 8.0 Shoe Brush,201711,0,1.62205,29
Hirzl Women's Hybrid Golf Glove,201711,0,0.44146,30
Team Golf Pittsburgh Steelers Putter Grip,201711,0,1.59423,31
Top Flite Women's 2017 XL Hybrid,201711,0,0.75864,32
Glove It Urban Brick Golf Towel,201711,0,0.82516,33
Nike Dri-FIT Crew Sock 6 Pack,201711,0,1.03676,34
TYR Boys' Team Digi Jammer,201711,0,1.2935,35
Team Golf San Francisco Giants Putter Grip,201711,0,0.31878,36
Clicgear Rovic Cooler Bag,201711,0,1.61228,37
Hirzl Men's Hybrid Golf Glove,201711,0,1.18082,38
Titleist Pro V1x Golf Balls,201711,0,1.57594,39
adidas Men's Germany Black Crest Away Tee,201711,0,0.36907,40
Titleist Pro V1 High Numbers Personalized Gol,201711,0,1.78277,41
Under Armour Women's Micro G Skulpt Running S,201711,0,0.95777,42
Under Armour Hustle Storm Medium Duffle Bag,201711,2,1.54382,43
Under Armour Women's Ignite PIP VI Slide,201711,0,0.80255,44
Bag Boy Beverage Holder,201711,0,0.37946,45
Under Armour Men's Tech II T-Shirt,201711,0,0.24393,46
Team Golf New England Patriots Putter Grip,201711,0,0.70882,47
Under Armour Men's Compression EV SL Slide,201711,0,1.16109,48
Bridgestone e6 Straight Distance NFL Tennesse,201711,0,0.4111,49
Glove It Women's Mod Oval Golf Glove,201711,0,2.23179,50
Titleist Pro V1x High Numbers Golf Balls,201711,0,0.60281,51
Nike Women's Legend V-Neck T-Shirt,201711,0,1.51008,52
Under Armour Kids' Mercenary Slide,201711,0,2.04851,53
adidas Kids' F5 Messi FG Soccer Cleat,201711,0,2.26857,54
Children's heaters,201711,1,0.78152,55
Web Camera,201711,5,1.5434,56
Dell Laptop,201711,22,1.21721,57
Porcelain crafts,201711,36,0.54235,58
Sports Books,201711,26,1.46957,59
DVDs,201711,33,0.79126,60
Industrial consumer electronics,201711,0,1.80573,61
Fighting video games,201711,18,0.156,62
Summer dresses,201711,25,0.2102,63
Lawn mower,201711,8,0.27954,64
Adult dog supplies,201711,19,2.29154,65
Rock music,201711,2,0.73288,66
Elevation Training Mask 2.0,201711,0,0.19942,67
LIJA Women's Mid-Length Panel Golf Shorts,201711,0,0.62155,68
Toys,201711,0,1.09646,69
Brooks Women's Ghost 6 Running Shoe,201711,0,0.34501,70
Bag Boy M330 Push Cart,201711,0,1.55828,71
Merrell Women's Grassbow Sport Hiking Shoe,201711,0,0.53424,72
Nike Men's Free TR 5.0 TB Training Shoe,201711,0,0.7889,73
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201711,0,0.37848,74
First aid kit,201711,0,2.29855,75
CDs of rock,201711,3,0.85409,76
Polar FT4 Heart Rate Monitor,201711,0,1.77867,77
LIJA Women's Argyle Golf Polo,201711,0,1.2768,78
TaylorMade White Smoke IN-12 Putter,201711,0,2.26641,79
Fitbit The One Wireless Activity & Sleep Trac,201711,0,1.56387,80
Nike Kids' Grade School KD VI Basketball Shoe,201711,0,0.66894,81
The North Face Women's Recon Backpack,201711,0,0.64597,82
Smart watch,201711,30,1.08703,83
Baby sweater,201711,10,0.30632,84
MDGolf Pittsburgh Penguins Putter,201711,0,1.19935,85
Men's gala suit,201711,5,1.20661,86
Merrell Men's All Out Flash Trail Running Sho,201711,2,1.98059,87
Garmin Approach S3 Golf GPS Watch,201711,0,1.21618,88
LIJA Women's Button Golf Dress,201711,0,1.44057,89
Cleveland Golf Women's 588 RTX CB Satin Chrom,201711,0,1.75228,90
Merrell Women's Siren Mid Waterproof Hiking B,201711,0,1.97427,91
TaylorMade Women's RBZ SL Rescue,201711,0,0.37808,92
Mio ALPHA Heart Rate Monitor/Sport Watch,201711,0,1.04173,93
TaylorMade 2017 Purelite Stand Bag,201711,0,0.23332,94
Cleveland Golf Collegiate My Custom Wedge 588,201711,0,1.03187,95
adidas Brazuca 2017 Official Match Ball,201711,0,2.02978,96
Nike Men's Fingertrap Max Training Shoe,201711,0,0.5335,97
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201711,2,0.5909,98
Nike Men's Kobe IX Elite Low Basketball Shoe,201711,0,0.5749,99
Ogio Race Golf Shoes,201711,0,0.39652,100
insta-bed Neverflat Air Mattress,201711,0,1.65185,101
GolfBuddy VT3 GPS Watch,201711,0,1.46056,102
Merrell Women's Grassbow Sport Waterproof Hik,201711,0,2.07629,103
Titleist Small Wheeled Travel Cover,201711,0,0.77099,104
Polar Loop Activity Tracker,201711,1,1.0942,105
Pelican Maverick 100X Kayak,201711,0,1.63028,106
Garmin Approach S4 Golf GPS Watch,201711,0,2.32042,107
Total Gym 1400,201711,0,2.02645,108
Garmin Forerunner 910XT GPS Watch,201711,0,1.4785,109
Titleist Club Glove Travel Cover,201711,0,0.99194,110
GoPro HERO3+ Black Edition Camera,201711,0,0.70677,111
Diamondback Boys' Insight 24 Performance Hybr,201711,0,2.32551,112
Diamondback Girls' Clarity 24 Hybrid Bike 201,201711,0,1.95685,113
Stiga Master Series ST3100 Competition Indoor,201711,0,0.62974,114
SOLE E35 Elliptical,201711,6,1.20568,115
Bushnell Pro X7 Jolt Slope Rangefinder,201711,34,1.75316,116
SOLE E25 Elliptical,201711,24,2.00579,117
Bowflex SelectTech 1090 Dumbbells,201711,7,1.35111,118
Perfect Fitness Perfect Rip Deck,201710,2,2.28291,1
Nike Men's Dri-FIT Victory Golf Polo,201710,19,2.29996,2
O'Brien Men's Neoprene Life Vest,201710,8,2.0023,3
Nike Men's Free 5.0+ Running Shoe,201710,7,1.31385,4
Under Armour Girls' Toddler Spine Surge Runni,201710,14,1.33668,5
Nike Men's CJ Elite 2 TD Football Cleat,201710,0,0.44156,6
Field & Stream Sportsman 16 Gun Fire Safe,201710,0,0.40466,7
Pelican Sunstream 100 Kayak,201710,0,2.03988,8
Diamondback Women's Serene Classic Comfort Bi,201710,0,1.77754,9
ENO Atlas Hammock Straps,201710,0,1.05987,10
Nike Men's Comfort 2 Slide,201710,0,0.97586,11
adidas Youth Germany Black/Red Away Match Soc,201710,0,1.57212,12
Team Golf St. Louis Cardinals Putter Grip,201710,0,0.36145,13
LIJA Women's Eyelet Sleeveless Golf Polo,201710,0,1.55363,14
adidas Men's F10 Messi TRX FG Soccer Cleat,201710,0,2.24155,15
Glove It Women's Imperial Golf Glove,201710,0,0.14742,16
Glove It Imperial Golf Towel,201710,0,1.28418,17
Bridgestone e6 Straight Distance NFL Carolina,201710,0,0.88873,18
Glove It Women's Mod Oval 3-Zip Carry All Gol,201710,0,2.17162,19
Columbia Men's PFG Anchor Tough T-Shirt,201710,0,2.2386,20
Under Armour Women's Ignite Slide,201710,0,1.56443,21
Team Golf Tennessee Volunteers Putter Grip,201710,0,2.11911,22
Titleist Pro V1x High Numbers Personalized Go,201710,0,2.11361,23
Nike Men's Deutschland Weltmeister Winners Bl,201710,0,0.44429,24
Bridgestone e6 Straight Distance NFL San Dieg,201710,0,0.2727,25
Nike Women's Tempo Shorts,201710,0,0.31513,26
Team Golf Texas Longhorns Putter Grip,201710,0,0.85579,27
Hirzl Women's Soffft Flex Golf Glove,201710,0,1.68079,28
Clicgear 8.0 Shoe Brush,201710,0,0.75891,29
Hirzl Women's Hybrid Golf Glove,201710,0,2.0864,30
Team Golf Pittsburgh Steelers Putter Grip,201710,0,2.21873,31
Top Flite Women's 2017 XL Hybrid,201710,2,2.03709,32
Glove It Urban Brick Golf Towel,201710,0,2.31327,33
Nike Dri-FIT Crew Sock 6 Pack,201710,0,0.82014,34
TYR Boys' Team Digi Jammer,201710,0,0.30068,35
Team Golf San Francisco Giants Putter Grip,201710,0,1.88387,36
Clicgear Rovic Cooler Bag,201710,0,2.14677,37
Hirzl Men's Hybrid Golf Glove,201710,0,2.18555,38
Titleist Pro V1x Golf Balls,201710,0,1.29717,39
adidas Men's Germany Black Crest Away Tee,201710,0,1.03461,40
Titleist Pro V1 High Numbers Personalized Gol,201710,0,1.30144,41
Under Armour Women's Micro G Skulpt Running S,201710,0,1.17006,42
Under Armour Hustle Storm Medium Duffle Bag,201710,0,1.88358,43
Under Armour Women's Ignite PIP VI Slide,201710,0,0.23134,44
Bag Boy Beverage Holder,201710,0,0.14176,45
Under Armour Men's Tech II T-Shirt,201710,0,0.19946,46
Team Golf New England Patriots Putter Grip,201710,0,1.0851,47
Under Armour Men's Compression EV SL Slide,201710,0,0.10481,48
Bridgestone e6 Straight Distance NFL Tennesse,201710,0,1.51056,49
Glove It Women's Mod Oval Golf Glove,201710,0,0.77133,50
Titleist Pro V1x High Numbers Golf Balls,201710,0,0.90062,51
Nike Women's Legend V-Neck T-Shirt,201710,0,1.48976,52
Under Armour Kids' Mercenary Slide,201710,0,1.3402,53
adidas Kids' F5 Messi FG Soccer Cleat,201710,0,1.85932,54
Children's heaters,201710,3,2.28254,55
Web Camera,201710,234,0.88759,56
Dell Laptop,201710,33,1.59011,57
Porcelain crafts,201710,39,1.99338,58
Sports Books,201710,58,2.03661,59
DVDs,201710,41,0.17026,60
Industrial consumer electronics,201710,5,0.67386,61
Fighting video games,201710,0,1.93933,62
Summer dresses,201710,0,1.95157,63
Lawn mower,201710,0,0.28382,64
Adult dog supplies,201710,0,1.58566,65
Rock music,201710,0,0.98812,66
Elevation Training Mask 2.0,201710,0,1.73172,67
LIJA Women's Mid-Length Panel Golf Shorts,201710,0,0.51203,68
Toys,201710,0,1.73503,69
Brooks Women's Ghost 6 Running Shoe,201710,0,0.34837,70
Bag Boy M330 Push Cart,201710,0,1.52002,71
Merrell Women's Grassbow Sport Hiking Shoe,201710,0,1.35694,72
Nike Men's Free TR 5.0 TB Training Shoe,201710,0,0.14742,73
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201710,0,1.67831,74
First aid kit,201710,0,0.92517,75
CDs of rock,201710,34,2.22295,76
Polar FT4 Heart Rate Monitor,201710,0,1.1344,77
LIJA Women's Argyle Golf Polo,201710,0,0.25182,78
TaylorMade White Smoke IN-12 Putter,201710,0,0.57951,79
Fitbit The One Wireless Activity & Sleep Trac,201710,0,0.41727,80
Nike Kids' Grade School KD VI Basketball Shoe,201710,0,1.77219,81
The North Face Women's Recon Backpack,201710,0,0.60513,82
Smart watch,201710,0,1.54556,83
Baby sweater,201710,27,1.52727,84
MDGolf Pittsburgh Penguins Putter,201710,1,0.74719,85
Men's gala suit,201710,0,1.0719,86
Merrell Men's All Out Flash Trail Running Sho,201710,0,1.34555,87
Garmin Approach S3 Golf GPS Watch,201710,4,1.83329,88
LIJA Women's Button Golf Dress,201710,0,2.2351,89
Cleveland Golf Women's 588 RTX CB Satin Chrom,201710,1,0.79587,90
Merrell Women's Siren Mid Waterproof Hiking B,201710,0,0.70591,91
TaylorMade Women's RBZ SL Rescue,201710,0,0.41059,92
Mio ALPHA Heart Rate Monitor/Sport Watch,201710,0,0.96631,93
TaylorMade 2017 Purelite Stand Bag,201710,0,1.47356,94
Cleveland Golf Collegiate My Custom Wedge 588,201710,0,2.31264,95
adidas Brazuca 2017 Official Match Ball,201710,2,0.85572,96
Nike Men's Fingertrap Max Training Shoe,201710,0,1.0038,97
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201710,0,0.6631,98
Nike Men's Kobe IX Elite Low Basketball Shoe,201710,0,2.14424,99
Ogio Race Golf Shoes,201710,0,0.95115,100
insta-bed Neverflat Air Mattress,201710,0,0.13712,101
GolfBuddy VT3 GPS Watch,201710,0,1.8096,102
Merrell Women's Grassbow Sport Waterproof Hik,201710,0,1.52272,103
Titleist Small Wheeled Travel Cover,201710,0,1.37731,104
Polar Loop Activity Tracker,201710,0,1.61345,105
Pelican Maverick 100X Kayak,201710,0,0.84104,106
Garmin Approach S4 Golf GPS Watch,201710,0,0.16798,107
Total Gym 1400,201710,0,2.13241,108
Garmin Forerunner 910XT GPS Watch,201710,2,0.53606,109
Titleist Club Glove Travel Cover,201710,0,2.32454,110
GoPro HERO3+ Black Edition Camera,201710,1,1.37089,111
Diamondback Boys' Insight 24 Performance Hybr,201710,4,2.15012,112
Diamondback Girls' Clarity 24 Hybrid Bike 201,201710,0,1.81528,113
Stiga Master Series ST3100 Competition Indoor,201710,0,1.30528,114
SOLE E35 Elliptical,201710,10,2.07893,115
Bushnell Pro X7 Jolt Slope Rangefinder,201710,29,1.82287,116
SOLE E25 Elliptical,201710,7,1.92174,117
Bowflex SelectTech 1090 Dumbbells,201710,10,2.32944,118
Perfect Fitness Perfect Rip Deck,201709,536,1.65666,1
Nike Men's Dri-FIT Victory Golf Polo,201709,531,0.92767,2
O'Brien Men's Neoprene Life Vest,201709,150,0.91578,3
Nike Men's Free 5.0+ Running Shoe,201709,105,0.35137,4
Under Armour Girls' Toddler Spine Surge Runni,201709,165,1.42805,5
Nike Men's CJ Elite 2 TD Football Cleat,201709,106,1.02406,6
Field & Stream Sportsman 16 Gun Fire Safe,201709,8,1.49661,7
Pelican Sunstream 100 Kayak,201709,29,1.60905,8
Diamondback Women's Serene Classic Comfort Bi,201709,34,0.76535,9
ENO Atlas Hammock Straps,201709,0,1.35184,10
Nike Men's Comfort 2 Slide,201709,0,1.71565,11
adidas Youth Germany Black/Red Away Match Soc,201709,0,0.60725,12
Team Golf St. Louis Cardinals Putter Grip,201709,0,2.2529,13
LIJA Women's Eyelet Sleeveless Golf Polo,201709,0,1.38791,14
adidas Men's F10 Messi TRX FG Soccer Cleat,201709,0,0.79231,15
Glove It Women's Imperial Golf Glove,201709,0,1.71396,16
Glove It Imperial Golf Towel,201709,0,0.92872,17
Bridgestone e6 Straight Distance NFL Carolina,201709,0,0.45655,18
Glove It Women's Mod Oval 3-Zip Carry All Gol,201709,0,1.39589,19
Columbia Men's PFG Anchor Tough T-Shirt,201709,0,2.04095,20
Under Armour Women's Ignite Slide,201709,0,1.22315,21
Team Golf Tennessee Volunteers Putter Grip,201709,0,0.49377,22
Titleist Pro V1x High Numbers Personalized Go,201709,0,1.42176,23
Nike Men's Deutschland Weltmeister Winners Bl,201709,5,1.14285,24
Bridgestone e6 Straight Distance NFL San Dieg,201709,0,1.66305,25
Nike Women's Tempo Shorts,201709,0,1.92086,26
Team Golf Texas Longhorns Putter Grip,201709,0,1.0289,27
Hirzl Women's Soffft Flex Golf Glove,201709,0,2.13977,28
Clicgear 8.0 Shoe Brush,201709,0,1.71882,29
Hirzl Women's Hybrid Golf Glove,201709,0,0.18068,30
Team Golf Pittsburgh Steelers Putter Grip,201709,0,1.37973,31
Top Flite Women's 2017 XL Hybrid,201709,4,0.76409,32
Glove It Urban Brick Golf Towel,201709,0,1.7704,33
Nike Dri-FIT Crew Sock 6 Pack,201709,0,1.30814,34
TYR Boys' Team Digi Jammer,201709,0,0.71103,35
Team Golf San Francisco Giants Putter Grip,201709,0,1.72032,36
Clicgear Rovic Cooler Bag,201709,0,2.18041,37
Hirzl Men's Hybrid Golf Glove,201709,0,0.65849,38
Titleist Pro V1x Golf Balls,201709,0,1.4836,39
adidas Men's Germany Black Crest Away Tee,201709,0,2.10537,40
Titleist Pro V1 High Numbers Personalized Gol,201709,0,2.16276,41
Under Armour Women's Micro G Skulpt Running S,201709,0,0.19311,42
Under Armour Hustle Storm Medium Duffle Bag,201709,0,1.74441,43
Under Armour Women's Ignite PIP VI Slide,201709,0,2.00793,44
Bag Boy Beverage Holder,201709,1,0.60164,45
Under Armour Men's Tech II T-Shirt,201709,0,0.41537,46
Team Golf New England Patriots Putter Grip,201709,0,1.31945,47
Under Armour Men's Compression EV SL Slide,201709,0,0.36877,48
Bridgestone e6 Straight Distance NFL Tennesse,201709,0,1.19864,49
Glove It Women's Mod Oval Golf Glove,201709,0,0.34217,50
Titleist Pro V1x High Numbers Golf Balls,201709,0,0.94261,51
Nike Women's Legend V-Neck T-Shirt,201709,0,1.17867,52
Under Armour Kids' Mercenary Slide,201709,0,0.91376,53
adidas Kids' F5 Messi FG Soccer Cleat,201709,0,1.70442,54
Children's heaters,201709,2,2.17739,55
Web Camera,201709,15,1.88508,56
Dell Laptop,201709,2,0.92704,57
Porcelain crafts,201709,0,0.4288,58
Sports Books,201709,0,0.99432,59
DVDs,201709,2,2.22212,60
Industrial consumer electronics,201709,0,1.17657,61
Fighting video games,201709,0,0.63984,62
Summer dresses,201709,0,0.72677,63
Lawn mower,201709,0,0.47674,64
Adult dog supplies,201709,0,0.67386,65
Rock music,201709,0,2.17014,66
Elevation Training Mask 2.0,201709,3,1.28252,67
LIJA Women's Mid-Length Panel Golf Shorts,201709,3,0.82689,68
Toys,201709,0,1.86337,69
Brooks Women's Ghost 6 Running Shoe,201709,8,0.37901,70
Bag Boy M330 Push Cart,201709,4,1.39513,71
Merrell Women's Grassbow Sport Hiking Shoe,201709,10,0.31175,72
Nike Men's Free TR 5.0 TB Training Shoe,201709,3,2.07699,73
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201709,8,1.65839,74
First aid kit,201709,0,2.18083,75
CDs of rock,201709,1,0.87013,76
Polar FT4 Heart Rate Monitor,201709,8,1.12102,77
LIJA Women's Argyle Golf Polo,201709,4,1.50784,78
TaylorMade White Smoke IN-12 Putter,201709,0,1.33605,79
Fitbit The One Wireless Activity & Sleep Trac,201709,1,2.04271,80
Nike Kids' Grade School KD VI Basketball Shoe,201709,14,0.47433,81
The North Face Women's Recon Backpack,201709,1,0.95934,82
Smart watch,201709,0,1.26862,83
Baby sweater,201709,1,1.29588,84
MDGolf Pittsburgh Penguins Putter,201709,0,2.09891,85
Men's gala suit,201709,0,1.73888,86
Merrell Men's All Out Flash Trail Running Sho,201709,3,2.23425,87
Garmin Approach S3 Golf GPS Watch,201709,2,0.78309,88
LIJA Women's Button Golf Dress,201709,0,0.29808,89
Cleveland Golf Women's 588 RTX CB Satin Chrom,201709,0,1.89474,90
Merrell Women's Siren Mid Waterproof Hiking B,201709,2,0.1242,91
TaylorMade Women's RBZ SL Rescue,201709,4,1.1345,92
Mio ALPHA Heart Rate Monitor/Sport Watch,201709,3,0.60951,93
TaylorMade 2017 Purelite Stand Bag,201709,0,0.12471,94
Cleveland Golf Collegiate My Custom Wedge 588,201709,0,1.19893,95
adidas Brazuca 2017 Official Match Ball,201709,0,2.07119,96
Nike Men's Fingertrap Max Training Shoe,201709,2,2.23725,97
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201709,4,2.20668,98
Nike Men's Kobe IX Elite Low Basketball Shoe,201709,0,2.1592,99
Ogio Race Golf Shoes,201709,0,0.32396,100
insta-bed Neverflat Air Mattress,201709,0,1.86747,101
GolfBuddy VT3 GPS Watch,201709,3,0.94895,102
Merrell Women's Grassbow Sport Waterproof Hik,201709,0,2.12731,103
Titleist Small Wheeled Travel Cover,201709,0,2.07193,104
